"ServiceKey","ModuleKey","ModuleNameAr","ServiceNameAr","OriginalHref","OriginalUrl","OriginalFields","OriginalActions","OriginalStates","OriginalValidations","OriginalTables","OriginalFilters","OriginalExports","OriginalPermissions","LocalRoute","LocalApi","LocalEntity","Migration","LocalService","CatalogStatus","ParityStatus","EvidenceSource","EvidenceCapturedAt","TestCoverage","AcceptanceChecklist"
"executive-supervision.forms_maintenance","executive-supervision","الإدارة الإشرافية و التنفيذية","طلبات الصيانة العامة","forms_maintenance.php","https://www.sarh.org.sa/rafed/forms_maintenance.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.forms_maintenance","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.forms_car_maintenance","executive-supervision","الإدارة الإشرافية و التنفيذية","طلبات صيانة السيارات","forms_car_maintenance.php","https://www.sarh.org.sa/rafed/forms_car_maintenance.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.forms_car_maintenance","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.tameed_manage","executive-supervision","الإدارة الإشرافية و التنفيذية","إدارة تعميدات الصرف","tameed_manage.php","https://www.sarh.org.sa/rafed/tameed_manage.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.tameed_manage","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.tameed_manage_rejected","executive-supervision","الإدارة الإشرافية و التنفيذية","التعميدات المرفوضة مع ملاحظة","tameed_manage_rejected.php","https://www.sarh.org.sa/rafed/tameed_manage_rejected.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.tameed_manage_rejected","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.tameed_data_rejected","executive-supervision","الإدارة الإشرافية و التنفيذية","التعميدات المرفوضة نهائيا","tameed_data_rejected.php","https://www.sarh.org.sa/rafed/tameed_data_rejected.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.tameed_data_rejected","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.tameed_database","executive-supervision","الإدارة الإشرافية و التنفيذية","سجلات تعميدات الصرف","tameed_database.php","https://www.sarh.org.sa/rafed/tameed_database.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.tameed_database","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.notifications_management","executive-supervision","الإدارة الإشرافية و التنفيذية","إدارة الإشعارات","notifications_management.php","https://www.sarh.org.sa/rafed/notifications_management.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/notifications/manage","Not mapped","Not mapped","Not assessed","ImplementedRafedMappedService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.notifications_delete","executive-supervision","الإدارة الإشرافية و التنفيذية","إلغاء إشعار","notifications_delete.php","https://www.sarh.org.sa/rafed/notifications_delete.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/notifications/cancel","Not mapped","Not mapped","Not assessed","ImplementedRafedMappedService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.notifications_database","executive-supervision","الإدارة الإشرافية و التنفيذية","قاعدة بيانات الإشعارات","notifications_database.php","https://www.sarh.org.sa/rafed/notifications_database.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/notifications/database","Not mapped","Not mapped","Not assessed","ImplementedRafedMappedService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.notifications_canceled","executive-supervision","الإدارة الإشرافية و التنفيذية","الإشعارات الملغاة","notifications_canceled.php","https://www.sarh.org.sa/rafed/notifications_canceled.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.notifications_canceled","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.task_create","executive-supervision","الإدارة الإشرافية و التنفيذية","إنشاء مهمة عامة","task_create.php","https://www.sarh.org.sa/rafed/task_create.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/tasks/create","Not mapped","Not mapped","Not assessed","TaskManagementService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.task_update","executive-supervision","الإدارة الإشرافية و التنفيذية","إدارة مهام الموظفين","task_update.php","https://www.sarh.org.sa/rafed/task_update.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/tasks/manage","Not mapped","Not mapped","Not assessed","TaskManagementService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.task_remove","executive-supervision","الإدارة الإشرافية و التنفيذية","حذف مهمة","task_remove.php","https://www.sarh.org.sa/rafed/task_remove.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/tasks/delete","Not mapped","Not mapped","Not assessed","TaskManagementService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.task_complete","executive-supervision","الإدارة الإشرافية و التنفيذية","انجاز مهمة منتهية","task_complete.php","https://www.sarh.org.sa/rafed/task_complete.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/tasks/complete","Not mapped","Not mapped","Not assessed","TaskManagementService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.task_redirect","executive-supervision","الإدارة الإشرافية و التنفيذية","تحويل مهمة متعثرة","task_redirect.php","https://www.sarh.org.sa/rafed/task_redirect.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/tasks/redirect","Not mapped","Not mapped","Not assessed","TaskManagementService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.tasks_database","executive-supervision","الإدارة الإشرافية و التنفيذية","قواعد بيانات المهام","tasks_database.php","https://www.sarh.org.sa/rafed/tasks_database.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/tasks/database","Not mapped","Not mapped","Not assessed","TaskManagementService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.task_removed","executive-supervision","الإدارة الإشرافية و التنفيذية","استعادة مهمة محذوفة","task_removed.php","https://www.sarh.org.sa/rafed/task_removed.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/tasks/restore","Not mapped","Not mapped","Not assessed","TaskManagementService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.decisions_management","executive-supervision","الإدارة الإشرافية و التنفيذية","إدارة القرارات الإدارية","decisions_management.php","https://www.sarh.org.sa/rafed/decisions_management.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.decisions_management","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.decisions_meetings","executive-supervision","الإدارة الإشرافية و التنفيذية","إدارة قرارات الاجتماعات","decisions_meetings.php","https://www.sarh.org.sa/rafed/decisions_meetings.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.decisions_meetings","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.decision_tasks_management","executive-supervision","الإدارة الإشرافية و التنفيذية","إدارة مهام القرارات","decision_tasks_management.php","https://www.sarh.org.sa/rafed/decision_tasks_management.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.decision_tasks_management","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"executive-supervision.decisions_export","executive-supervision","الإدارة الإشرافية و التنفيذية","تصدير نماذج القرارات","decisions_export.php","https://www.sarh.org.sa/rafed/decisions_export.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/executive-supervision.decisions_export","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"excellence-performance.pps_report","excellence-performance","إدارة التميز المؤسسي","تقرير مقياس الآداء","pps_report.php","https://www.sarh.org.sa/rafed/pps_report.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/excellence-performance.pps_report","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"excellence-performance.pps_statistics","excellence-performance","إدارة التميز المؤسسي","إحصائيات مقياس الآداء","pps_statistics.php","https://www.sarh.org.sa/rafed/pps_statistics.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/excellence-performance.pps_statistics","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.personnel_attendance","electronic-office","المكتب الإلكتروني","تسجيل الحضور والانصراف","personnel_attendance.php","https://www.sarh.org.sa/rafed/personnel_attendance.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.personnel_attendance","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.personnel_reminders","electronic-office","المكتب الإلكتروني","إدارة المذكرات الشخصية","personnel_reminders.php","https://www.sarh.org.sa/rafed/personnel_reminders.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.personnel_reminders","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.personnel_calendar","electronic-office","المكتب الإلكتروني","نتيجة الأعمال","personnel_calendar.php","https://www.sarh.org.sa/rafed/personnel_calendar.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.personnel_calendar","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.personnel_questions","electronic-office","المكتب الإلكتروني","مسائلات بحاجة إلي رد","personnel_questions.php","https://www.sarh.org.sa/rafed/personnel_questions.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.personnel_questions","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.personnel_warnings","electronic-office","المكتب الإلكتروني","إنذارات بحاجة إلي رد","personnel_warnings.php","https://www.sarh.org.sa/rafed/personnel_warnings.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.personnel_warnings","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.personnel_password","electronic-office","المكتب الإلكتروني","تغيير كلمة المرور","personnel_password.php","https://www.sarh.org.sa/rafed/personnel_password.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.personnel_password","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.common_tasks","electronic-office","المكتب الإلكتروني","المهام المعينة للإدارة","common_tasks.php","https://www.sarh.org.sa/rafed/common_tasks.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/tasks/mine","Not mapped","Not mapped","Not assessed","MessagingService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.common_tasks_create","electronic-office","المكتب الإلكتروني","إنشاء مهمة لموظف","common_tasks_create.php","https://www.sarh.org.sa/rafed/common_tasks_create.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/tasks/create","Not mapped","Not mapped","Not assessed","MessagingService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.common_tasks_update","electronic-office","المكتب الإلكتروني","إدارة مهام الموظفين","common_tasks_update.php","https://www.sarh.org.sa/rafed/common_tasks_update.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/tasks/manage","Not mapped","Not mapped","Not assessed","MessagingService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.common_tasks_complete","electronic-office","المكتب الإلكتروني","إنجاز مهمة منتهية","common_tasks_complete.php","https://www.sarh.org.sa/rafed/common_tasks_complete.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/tasks/complete","Not mapped","Not mapped","Not assessed","MessagingService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.common_tasks_remove","electronic-office","المكتب الإلكتروني","حذف مهمة","common_tasks_remove.php","https://www.sarh.org.sa/rafed/common_tasks_remove.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/tasks/delete","Not mapped","Not mapped","Not assessed","MessagingService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.common_evaluation","electronic-office","المكتب الإلكتروني","إدارة تقييمات الموظفين","common_evaluation.php","https://www.sarh.org.sa/rafed/common_evaluation.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.common_evaluation","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.common_notification","electronic-office","المكتب الإلكتروني","إدارة إشعارات الموظفين","common_notification.php","https://www.sarh.org.sa/rafed/common_notification.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.common_notification","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.common_strategy_indicators","electronic-office","المكتب الإلكتروني","إدارة المؤشرات المملوكة","common_strategy_indicators.php","https://www.sarh.org.sa/rafed/common_strategy_indicators.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.common_strategy_indicators","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.common_present","electronic-office","المكتب الإلكتروني","سجل حضور الموظفين الحالي","common_present.php","https://www.sarh.org.sa/rafed/common_present.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.common_present","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.personnel_emails","electronic-office","المكتب الإلكتروني","البريد","personnel_emails.php","https://www.sarh.org.sa/rafed/personnel_emails.php","search_input [text]; سجلات الصفحة; عمليات [text]","button: المهام; button: التنبيهات; button: المشرف الاداري العام مشرف اداري; button: تسجيل الخروج; button: رسالة جديدة; button: حذف; button: أرشفة; button: علامات; button: غلق; button: منقي; button: تصدير; button: عمليات","Not captured","Not captured","1 table(s) observed","Not captured","Not captured","Not captured","/mail/inbox","Not mapped","Not mapped","Not assessed","MessagingService","Implemented","Partial","rafed-sample-pages.json: captured structural metadata","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.personnel_emails_drafts","electronic-office","المكتب الإلكتروني","المسودات","personnel_emails_drafts.php","https://www.sarh.org.sa/rafed/personnel_emails_drafts.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/mail/drafts","Not mapped","Not mapped","Not assessed","MessagingService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.personnel_emails_templates","electronic-office","المكتب الإلكتروني","إدارة القوالب","personnel_emails_templates.php","https://www.sarh.org.sa/rafed/personnel_emails_templates.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/mail/templates","Not mapped","Not mapped","Not assessed","MessagingService","Implemented","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.personnel_emails_preferences","electronic-office","المكتب الإلكتروني","تفضيلات البريد","personnel_emails_preferences.php","https://www.sarh.org.sa/rafed/personnel_emails_preferences.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.personnel_emails_preferences","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.demands_request_vacation","electronic-office","المكتب الإلكتروني","تقديم طلب إجازة","demands_request_vacation.php","https://www.sarh.org.sa/rafed/demands_request_vacation.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.demands_request_vacation","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.demands_request_execuse","electronic-office","المكتب الإلكتروني","تقديم طلب إذن","demands_request_execuse.php","https://www.sarh.org.sa/rafed/demands_request_execuse.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.demands_request_execuse","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.demands_request_finance","electronic-office","المكتب الإلكتروني","تقديم طلب مالي","demands_request_finance.php","https://www.sarh.org.sa/rafed/demands_request_finance.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.demands_request_finance","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.demands_request_general","electronic-office","المكتب الإلكتروني","تقديم طلب عام","demands_request_general.php","https://www.sarh.org.sa/rafed/demands_request_general.php","search_input [text]; token [hidden]; type; title [text]; description; amount [number]; start_date [text]; start_time [text]; end_date [text]; end_time [text]; hours [number]; إضافة مرفقات [file]; attachments [hidden]; سجلات الصفحة; عمليات [text]","form post https://www.sarh.org.sa/rafed/demands_request_general.php; button: المهام; button: التنبيهات; button: المشرف الاداري العام مشرف اداري; button: تسجيل الخروج; button: إضافة مرفقات; button: غلق; button: منقي; button: تصدير; button: عمليات","Not captured","Not captured","2 table(s) observed","Not captured","Not captured","Not captured","/rafed/electronic-office.demands_request_general","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-sample-pages.json: captured structural metadata","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.personnel_volunteer","electronic-office","المكتب الإلكتروني","تقديم طلب مجموعة تطوعية","personnel_volunteer.php","https://www.sarh.org.sa/rafed/personnel_volunteer.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.personnel_volunteer","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.demands_cancel","electronic-office","المكتب الإلكتروني","إلغاء تقديم طلب","demands_cancel.php","https://www.sarh.org.sa/rafed/demands_cancel.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.demands_cancel","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.demands_status_pending","electronic-office","المكتب الإلكتروني","سجل الطلبات قيد الاعتماد","demands_status_pending.php","https://www.sarh.org.sa/rafed/demands_status_pending.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.demands_status_pending","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
"electronic-office.demands_status_update","electronic-office","المكتب الإلكتروني","الطلبات المرفوضة مع ملاحظة","demands_status_update.php","https://www.sarh.org.sa/rafed/demands_status_update.php","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","Not captured","/rafed/electronic-office.demands_status_update","Not mapped","Not mapped","Not assessed","RafedPlannedService","Planned","Partial","rafed-links.json: sidebar inventory only","2026-07-07T11:51:06Z","Not assessed","Not started"
